"POT NUMBER","Treatment Type","Line","Pot","Treatment","Tray","Biomass","Fruit Number","Abort Number","Silique Length","Tray","Treatment","Pot","Height (mm)","Leaf #","rosdiam",,,,,,,,
186,"FERTILIZER",17933,186,"highwater",".",".","ns",".",".",10,"high H2O",186,"np",".",".",,,,,,,,
187,"FERTILIZER",126600,187,"highwater",10,0.01,8,8,6.9,10,"high H2O",187,128,9,3.72,,,,,,,,
188,"FERTILIZER",134535,188,"highwater",".",".","ng",".",".",10,"high H2O",188,"np-bs",".",".",,,,,,,,
189,"FERTILIZER",33462,189,"highwater",10,0.01,11,30,7,10,"high H2O",189,169,5,4.92,,,,,,,,
190,"FERTILIZER",126600,190,"highwater",".",".","ns",".",".",10,"high H2O",190,"np",".",".",,,,,,,,
191,"FERTILIZER",42704,191,"highwater",".",".","ns",".",".",10,"high H2O",191,"np",".",".",,,,,,,,
192,"FERTILIZER",50488,192,"highwater",".",".","ng",".",".",10,"high H2O",192,"np-ws",".",".",,,,,,,,
193,"FERTILIZER",42704,193,"highwater",10,0,0,19,"0 n/a",10,"high H2O",193,40,12,2.17,,,,,,,,
194,"FERTILIZER","ECOTYPE - 1436",194,"highwater",".",".","ng",".",".",10,"high H2O",194,"np-ws",".",".",,,,,,,,
195,"FERTILIZER",17933,195,"highwater",".",".","ng",".",".",10,"high H2O",195,"np-ys",".",".",,,,,,,,
196,"FERTILIZER",126600,196,"highwater",10,0.01,10,4,11,10,"high H2O",196,149,6,4.02,,,,,,,,
197,"FERTILIZER",50488,197,"highwater",".",".","ng",".",".",10,"high H2O",197,"np-ys",".",".",,,,,,,,
198,"FERTILIZER",134535,198,"highwater",".",".","ns",".",".",10,"high H2O",198,"np",".",2.33,,,,,,,,
199,"FERTILIZER","cs60000",199,"highwater",10,0.05,63,7,8,10,"high H2O",199,298,10,5.5,,,,,,,,
200,"FERTILIZER",33462,200,"highwater",10,0.05,0,19,"0 n/a",10,"high H2O",200,28,20,2.28,,,,,,,,
201,"FERTILIZER",126600,201,"highwater",".",".","ns",".",".",11,"high H2O",201,"np",".",".",,,,,,,,
202,"FERTILIZER",63722,202,"highwater",".",".","ng",".",".",11,"high H2O",202,"np",".",".",,,,,,,,
203,"FERTILIZER",50488,203,"highwater",".",".","ns",".",".",11,"high H2O",203,"np",".",".",,,,,,,,
204,"FERTILIZER",59835,204,"highwater",".",".","ns",".",".",11,"high H2O",204,"np",".",".",,,,,,,,
205,"FERTILIZER",94332,205,"highwater",".",".","ns",".",".",11,"high H2O",205,"np",".",".",,,,,,,,
206,"FERTILIZER",42704,206,"highwater",".",".","ns",".",".",11,"high H2O",206,"np",".",".",,,,,,,,
207,"FERTILIZER",134535,207,"highwater",".",".","2 plants",".",".",11,"high H2O",207,"np-gs",".",".",,,,,,,,
208,"FERTILIZER",150522,208,"highwater",11,0.02,17,2,10.7,11,"high H2O",208,174,8,3.24,,,,,,,,
209,"FERTILIZER",63722,209,"highwater",".",".","ns",".",".",11,"high H2O",209,"np",".",".",,,,,,,,
210,"FERTILIZER",150522,210,"highwater",11,0.04,28,43,11.1,11,"high H2O",210,287,6,6.25,,,,,,,,
211,"FERTILIZER",150522,211,"highwater",11,0.03,31,8,7.9,11,"high H2O",211,249,8,6.72,,,,,,,,
212,"FERTILIZER",134535,212,"highwater",".",".","ng",".",".",11,"high H2O",212,"np-gs",".",".",,,,,,,,
213,"FERTILIZER",42704,213,"highwater",11,0,0,15,"0 n/a",11,"high H2O",213,20,15,4.45,,,,,,,,
214,"FERTILIZER",63722,214,"highwater",".",".","ns",".",".",11,"high H2O",214,"np",".",".",,,,,,,,
215,"FERTILIZER",59835,215,"highwater",".",".","ng",".",".",11,"high H2O",215,"np-ws",".",".",,,,,,,,
216,"FERTILIZER","cs60000",216,"highwater",".",".","ns",".",".",11,"high H2O",216,"np",".",".",,,,,,,,
217,"FERTILIZER",150522,217,"highwater",".",".","ng",".",".",11,"high H2O",217,"np-ys",".",".",,,,,,,,
218,"FERTILIZER",150522,218,"highwater",".",".","ns",".",".",11,"high H2O",218,"np",".",".",,,,,,,,
219,"FERTILIZER",126600,219,"highwater",".",".","ns",".",".",11,"high H2O",219,"np",".",".",,,,,,,,
220,"FERTILIZER","cs60000",220,"highwater",".",".","ns",".",".",11,"high H2O",220,"np",".",".",,,,,,,,
221,"FERTILIZER",63722,221,"highwater",12,0.01,0,7,"0 n/a",12,"high H2O",221,53,0,0.77,,,,,,,,
222,"FERTILIZER",33462,222,"highwater",".",".","ns",".",".",12,"high H2O",222,"np",".",".",,,,,,,,
223,"FERTILIZER",134535,223,"highwater",".",".","ns",".",".",12,"high H2O",223,"np",".",".",,,,,,,,
224,"FERTILIZER",54680,224,"highwater",12,0,0,10,0,12,"high H2O",224,21,4,1.47,,,,,,,,
225,"FERTILIZER",63722,225,"highwater",12,0.03,35,20,10.6,12,"high H2O",225,152,32,6.63,,,,,,,,
226,"FERTILIZER",94332,226,"highwater",12,0.01,2,31,5.5,12,"high H2O",226,175,8,3.41,,,,,,,,
227,"FERTILIZER",50488,227,"highwater",".",".","ns",".",".",12,"high H2O",227,"np",".",".",,,,,,,,
228,"FERTILIZER",94332,228,"highwater",".",".","ns",".",".",12,"high H2O",228,"np",".",".",,,,,,,,
229,"FERTILIZER",38957,229,"highwater",".",".","ng",".",".",12,"high H2O",229,"np-bs",".",".",,,,,,,,
230,"FERTILIZER",134535,230,"highwater",".",".","ng",".",".",12,"high H2O",230,"np-bs",".",".",,,,,,,,
231,"FERTILIZER",50488,231,"highwater",12,0,32,18,6.2,12,"high H2O",231,206,19,6.38,,,,,,,,
232,"FERTILIZER",38957,232,"highwater",".",".","ng",".",".",12,"high H2O",232,"np-ws",".",".",,,,,,,,
233,"FERTILIZER",50488,233,"highwater",".",".","ns",".",".",12,"high H2O",233,"np",".",".",,,,,,,,
234,"FERTILIZER",33462,234,"highwater",".",".","ns",".",".",12,"high H2O",234,"np",".",".",,,,,,,,
235,"FERTILIZER",33462,235,"highwater",12,0.01,3,16,7.7,12,"high H2O",235,87,10,3.36,,,,,,,,
236,"FERTILIZER","cs60000",236,"highwater",12,0,0,7,0,12,"high H2O",236,20,9,1.88,,,,,,,,
237,"FERTILIZER","ECOTYPE - 22635",237,"highwater",".",".","ns",".",".",12,"high H2O",237,"np",".",".",,,,,,,,
238,"FERTILIZER",94332,238,"highwater",12,0.01,0,10,"0 n/a",12,"high H2O",238,85,7,4.22,,,,,,,,
239,"FERTILIZER",50488,239,"highwater",".",".","ns",".",".",12,"high H2O",239,"np",".",".",,,,,,,,
240,"FERTILIZER",38957,240,"highwater",12,0,0,8,"0 n/a",12,"high H2O",240,20,1,2.19,,,,,,,,
